"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.1",Unnamed: 7,2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.2"
1,ANDHRA PRADESH,5854761,,21.64,5663506,18.99,6275973,,17.2
2,ARUNACHAL PRADESH,0,,0.0,0,0.0,0,,0.0
3,ASSAM,173492,,1.09,99142,0.51,53422,,0.26
4,BIHAR,0,,0.0,1250000,3.61,1250000,,2.52
5,CHHATTISGARH,491109,,9.18,500633,6.19,530100,,6.43
6,GOA,1215245,,55.2,1282500,52.69,1542500,,47.76
7,GUJARAT,8726270,,52.82,9260841,54.42,10463146,,52.55
8,HARYANA,4600000,,36.9,5720000,38.31,5750000,,35.92
9,HIMACHAL PRADESH,219800,,6.27,180000,3.64,170600,,3.73
10,JAMMU & KASHMIR,272500,,4.58,265800,3.64,319100,,3.76
11,JHARKHAND,0,,0.0,0,0.0,0,,0.0
12,KARNATAKA,8573058,,26.5,8780800,30.52,8174700,,29.8
13,KERALA,11892294,,46.56,12235662,44.28,13057920,,41.79
14,MADHYA PRADESH,2186661,,13.24,2483301,14.12,2483301,,13.34
15,MAHARAHSTRA,43586740,,88.03,46477883,83.54,50926874,,85.5
16,MANIPUR,77217,,4.37,242680,10.7,242680,,10.64
17,MEGHALAYA,931412,,46.19,1171958,55.39,1422095,,67.04
18,MIZORAM,36593,,2.94,3400,0.23,3349,,0.23
19,NAGALAND,28131,,3.4,36500,3.87,26500,,2.44
20,ODISHA,9935065,,55.28,8607592,49.96,9547415,,48.57
21,PUNJAB,2999483,,40.22,1890382,29.79,2000000,,37.37
22,RAJASTHAN,104408,,0.9,19072,0.16,35375,,0.26
23,SIKKIM,0,,0.0,0,0.0,0,,0.0
24,TAMIL NADU,11763427,,51.95,12900292,51.88,13586796,,51.2
25,TELANGANA,1110156,,8.28,2595006,16.12,1938815,,10.4
26,TRIPURA,0,,0.0,0,0.0,0,,0.0
27,UTTARAKHAND,631771,,23.27,628150,19.58,823650,,18.81
28,UTTAR PRADESH,14127259,,77.31,15657155,72.98,17969660,,73.67
29,WEST BENGAL,13278171,,33.49,30618567,55.27,31470093,,56.22
30,A & N ISLANDS,0,,0.0,0,0.0,0,,0.0
31,CHANDIGARH,664700,,43.44,720000,43.19,681500,,40.64
32,DADRA & NAGAR HAVELI,0,,0.0,0,0.0,0,,0.0
33,DAMAN & DIU,0,,0.0,0,0.0,0,,0.0
34,DELHI,1936000,,68.55,2110000,70.59,2150000,,59.87
35,LAKSHADWEEP,131412,,100.0,140900,100.0,136000,,100.0
36,PUDUCHERRY,0,,0.0,0,0.0,0,,0.0
