"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.2
1,ANDHRA PRADESH,84,0.0,0,0.0,0,0.0
2,ARUNACHAL PRADESH,0,0.0,0,0.0,0,0.0
3,ASSAM,0,0.0,0,0.0,0,0.0
4,BIHAR,0,0.0,0,0.0,0,0.0
5,CHHATTISGARH,0,0.0,0,0.0,0,0.0
6,GOA,0,0.0,0,0.0,0,0.0
7,GUJARAT,625,0.01,1000,0.01,3900,0.04
8,HARYANA,0,0.0,0,0.0,0,0.0
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,665698,13.67,3340000,37.09,2600000,25.9
12,KARNATAKA,500,0.01,500,0.01,500,0.01
13,KERALA,150783,1.89,179997,1.79,211386,1.9
14,MADHYA PRADESH,0,0.0,0,0.0,0,0.0
15,MAHARAHSTRA,2772,0.01,4800,0.02,5000,0.02
16,MANIPUR,0,0.0,0,0.0,0,0.0
17,MEGHALAYA,0,0.0,0,0.0,0,0.0
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,0,0.0,0,0.0,0,0.0
22,RAJASTHAN,0,0.0,0,0.0,0,0.0
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,0,0.0,0,0.0,0,0.0
25,TELANGANA,100000,2.59,71200,1.87,57200,1.35
26,TRIPURA,0,0.0,0,0.0,0,0.0
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,0.0,0,0.0
29,WEST BENGAL,878144,16.67,99631,2.31,2739868,34.95
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,0,0.0,2000,0.06,5000,0.15
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,0,0.0,0,0.0,0,0.0
