"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),Unnamed: 3,% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION.1,2018-19 (BUDGET ESTIMATE),Unnamed: 8,% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION.2
1,ANDHRA PRADESH,0,,0.0,0,0.0,0,0.0,
2,ARUNACHAL PRADESH,0,,0.0,0,0.0,0,0.0,
3,ASSAM,0,,0.0,0,0.0,0,0.0,
4,BIHAR,2328809,,71.24,2650131,63.36,2776994,64.36,
5,CHHATTISGARH,0,,0.0,0,0.0,0,0.0,
6,GOA,20672,,90.05,69352,90.83,74800,90.34,
7,GUJARAT,0,,0.0,0,0.0,0,0.0,
8,HARYANA,0,,0.0,0,0.0,0,0.0,
9,HIMACHAL PRADESH,2182,,2.51,2226,2.19,2530,2.16,
10,JAMMU & KASHMIR,0,,0.0,0,0.0,0,0.0,
11,JHARKHAND,277060,,88.47,498158,89.15,512053,88.93,
12,KARNATAKA,0,,0.0,0,0.0,0,0.0,
13,KERALA,6436,,4.44,3316,2.03,3354,1.83,
14,MADHYA PRADESH,0,,0.0,2,0.0,0,0.0,
15,MAHARAHSTRA,0,,0.0,0,0.0,0,0.0,
16,MANIPUR,600,,10.94,620,3.01,620,3.16,
17,MEGHALAYA,245,,37.98,250,71.43,0,0.0,
18,MIZORAM,0,,0.0,0,0.0,0,0.0,
19,NAGALAND,0,,0.0,0,0.0,0,0.0,
20,ODISHA,7731,,1.56,57895,7.56,59656,8.04,
21,PUNJAB,8159,,5.81,43897,19.76,24787,10.28,
22,RAJASTHAN,199954,,9.62,250299,10.11,321970,10.38,
23,SIKKIM,0,,0.0,0,0.0,0,0.0,
24,TAMIL NADU,83550,,29.7,93811,16.46,96530,19.53,
25,TELANGANA,0,,0.0,0,0.0,0,0.0,
26,TRIPURA,92424,,99.98,136606,99.99,159540,99.99,
27,UTTARAKHAND,0,,0.0,0,0.0,300,0.11,
28,UTTAR PRADESH,0,,0.0,0,0.0,1120,0.04,
29,WEST BENGAL,428092,,71.11,440530,71.67,81317,6.54,
30,A & N ISLANDS,0,,0.0,0,0.0,0,0.0,
31,CHANDIGARH,19606,,100.0,0,0.0,0,0.0,
32,DADRA & NAGAR HAVELI,0,,0.0,0,0.0,0,0.0,
33,DAMAN & DIU,0,,0.0,0,0.0,0,0.0,
34,DELHI,0,,0.0,0,0.0,0,0.0,
35,LAKSHADWEEP,0,,0.0,0,0.0,0,0.0,
36,PUDUCHERRY,289666,,100.0,43886,100.0,49299,100.0,
