"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,Unnamed: 3,2016-17 (ACTUAL),Unnamed: 5,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION",Unnamed: 7,2017-18 (REVISED ESTIMATE),Unnamed: 9,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.1",Unnamed: 11,2018-19 (BUDGET ESTIMATE),Unnamed: 13,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.2"
1,ANDHRA PRADESH,,3035735,,,83.85,,684805,,27.39,,1206012,,29.36
2,ARUNACHAL PRADESH,,0,,,0.0,,0,,0.0,,0,,0.0
3,ASSAM,,22810,,,3.77,,57095,,5.82,,105250,,9.19
4,BIHAR,,1964,,,0.21,,2508,,0.22,,2789,,0.24
5,CHHATTISGARH,,3743,,,1.8,,2500,,1.17,,2500,,0.96
6,GOA,,0,,,0.0,,100,,0.11,,200,,0.19
7,GUJARAT,,6059376,,,84.76,,6407332,,82.71,,7146960,,80.67
8,HARYANA,,0,,,0.0,,0,,0.0,,0,,0.0
9,HIMACHAL PRADESH,,92299,,,52.4,,105816,,77.72,,100578,,58.82
10,JAMMU & KASHMIR,,0,,,0.0,,0,,0.0,,0,,0.0
11,JHARKHAND,,0,,,0.0,,0,,0.0,,0,,0.0
12,KARNATAKA,,442700,,,33.9,,1179600,,37.92,,700900,,38.38
13,KERALA,,165121,,,27.98,,58548,,9.84,,63023,,8.62
14,MADHYA PRADESH,,154695,,,12.98,,180218,,12.43,,111413,,6.84
15,MAHARAHSTRA,,18621,,,1.87,,3713796,,76.36,,87605,,6.46
16,MANIPUR,,22816,,,17.75,,14806,,9.15,,8496,,5.73
17,MEGHALAYA,,70509,,,22.5,,115335,,13.35,,110810,,12.23
18,MIZORAM,,112778,,,68.4,,100720,,38.2,,113001,,65.65
19,NAGALAND,,0,,,0.0,,0,,0.0,,0,,0.0
20,ODISHA,,11777,,,21.03,,29635,,34.65,,28977,,34.02
21,PUNJAB,,0,,,0.0,,1700,,0.49,,1750,,0.42
22,RAJASTHAN,,143871,,,20.5,,66044,,11.18,,82197,,12.21
23,SIKKIM,,0,,,0.0,,0,,0.0,,0,,0.0
24,TAMIL NADU,,5453222,,,99.98,,8041008,,99.97,,8166824,,99.99
25,TELANGANA,,37488,,,6.13,,50099,,7.02,,54152,,7.29
26,TRIPURA,,0,,,0.0,,0,,0.0,,0,,0.0
27,UTTARAKHAND,,140531,,,86.97,,1,,0.0,,0,,0.0
28,UTTAR PRADESH,,802877,,,60.81,,1789468,,72.66,,1875595,,70.84
29,WEST BENGAL,,571123,,,11.47,,579331,,13.91,,460691,,10.17
30,A & N ISLANDS,,5382,,,5.41,,6729,,6.99,,7334,,7.58
31,CHANDIGARH,,0,,,0.0,,0,,0.0,,0,,0.0
32,DADRA & NAGAR HAVELI,,0,,,0.0,,0,,0.0,,0,,0.0
33,DAMAN & DIU,,0,,,0.0,,0,,0.0,,0,,0.0
34,DELHI,,2065836,,,88.06,,117000,,14.38,,30350,,3.93
35,LAKSHADWEEP,,227500,,,96.42,,233000,,96.12,,280000,,96.82
36,PUDUCHERRY,,24976,,,20.21,,37732,,26.47,,42594,,21.9
