"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.2"
1,ANDHRA PRADESH,14597857,53.95,16072576,53.89,21399649,58.66
2,ARUNACHAL PRADESH,0,0.0,0,0.0,0,0.0
3,ASSAM,2229172,14.01,3024233,15.42,3369960,16.59
4,BIHAR,22726574,96.89,31866803,91.91,45277902,91.19
5,CHHATTISGARH,657300,12.28,689300,8.52,708700,8.59
6,GOA,395988,17.99,402500,16.54,562000,17.4
7,GUJARAT,4859166,29.41,4514686,26.53,6070009,30.49
8,HARYANA,3020000,24.22,3160000,21.17,3490000,21.8
9,HIMACHAL PRADESH,926000,26.4,1040000,21.05,1100000,24.06
10,JAMMU & KASHMIR,2799000,47.04,3171000,43.44,3545000,41.82
11,JHARKHAND,9536868,90.84,11157533,90.19,11571447,87.52
12,KARNATAKA,7075225,21.87,7682382,26.7,7232200,26.37
13,KERALA,7686062,30.09,8550746,30.94,8922420,28.55
14,MADHYA PRADESH,807227,4.89,637078,3.62,701428,3.77
15,MAHARAHSTRA,4686197,9.46,7159002,12.87,6302567,10.58
16,MANIPUR,0,0.0,200,0.01,2500,0.11
17,MEGHALAYA,0,0.0,30,0.0,33,0.0
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,2727883,15.18,3307716,19.2,3981793,20.26
21,PUNJAB,1686349,22.61,1786349,28.15,2509900,46.89
22,RAJASTHAN,2094038,18.03,2678283,22.6,3182723,23.73
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,3669231,16.21,3782266,15.21,4049512,15.26
25,TELANGANA,4020542,29.98,7977708,49.55,6958662,37.31
26,TRIPURA,20000,2.45,35000,3.43,60000,4.86
27,UTTARAKHAND,599521,22.08,722200,22.51,946000,21.6
28,UTTAR PRADESH,1648091,9.02,1666736,7.77,1654276,6.78
29,WEST BENGAL,20422280,51.52,20320579,36.68,23499635,41.98
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,120000,4.25,677700,22.67,1150000,32.02
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,2524,0.22,2234,0.2,3984,0.27
