"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),Unnamed: 4,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION",Unnamed: 6,2017-18 (REVISED ESTIMATE),Unnamed: 8,Unnamed: 9,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.1",Unnamed: 11,2018-19 (BUDGET ESTIMATE),Unnamed: 13,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.2"
1,ANDHRA PRADESH,,8162852,,11.11,,3011467,,,3.75,,5813401,,6.15
2,ARUNACHAL PRADESH,,4830268,,88.65,,5801580,,,80.34,,5655988,,99.12
3,ASSAM,,853834,,1.36,,950214,,,1.23,,1125502,,1.39
4,BIHAR,,406778,,0.83,,714740,,,1.24,,196347,,0.34
5,CHHATTISGARH,,1652525,,3.21,,2272100,,,3.67,,2381070,,2.77
6,GOA,,85213,,2.85,,104209,,,2.8,,94998,,2.13
7,GUJARAT,,284115,,0.26,,992495,,,0.74,,734408,,0.59
8,HARYANA,,609873,,1.09,,731300,,,1.15,,1013670,,1.42
9,HIMACHAL PRADESH,,713210,,3.17,,908551,,,15.06,,1087699,,3.45
10,JAMMU & KASHMIR,,16494245,,88.66,,18549440,,,86.64,,19710456,,87.33
11,JHARKHAND,,448460,,0.98,,656938,,,1.37,,935060,,1.65
12,KARNATAKA,,0,,0.0,,1000,,,0.0,,500,,0.0
13,KERALA,,855611,,1.35,,954478,,,1.45,,1017610,,1.48
14,MADHYA PRADESH,,1101468,,1.13,,1251286,,,1.02,,1573175,,1.51
15,MAHARAHSTRA,,134380,,0.07,,145287,,,0.06,,156140,,0.06
16,MANIPUR,,98103,,2.9,,168598,,,4.03,,137691,,3.2
17,MEGHALAYA,,330053,,3.67,,140030,,,1.42,,168540,,2.3
18,MIZORAM,,223257,,5.11,,192958,,,4.25,,78081,,1.71
19,NAGALAND,,0,,0.0,,0,,,0.0,,0,,0.0
20,ODISHA,,1148905,,2.6,,1554422,,,2.62,,1579803,,2.63
21,PUNJAB,,212286,,0.77,,248424,,,0.69,,253554,,0.72
22,RAJASTHAN,,1438521,,1.35,,1139860,,,1.53,,1093616,,1.27
23,SIKKIM,,0,,0.0,,0,,,0.0,,0,,0.0
24,TAMIL NADU,,1743933,,1.61,,1907996,,,1.62,,2131003,,1.84
25,TELANGANA,,0,,0.0,,0,,,0.0,,0,,0.0
26,TRIPURA,,119479,,1.86,,211992,,,2.57,,41108,,0.44
27,UTTARAKHAND,,363076,,1.91,,410647,,,1.83,,535002,,1.92
28,UTTAR PRADESH,,1645352,,0.51,,1834844,,,0.48,,2178167,,0.51
29,WEST BENGAL,,600729,,0.91,,715550,,,0.96,,116072,,0.13
30,A & N ISLANDS,,0,,0.0,,0,,,0.0,,0,,0.0
31,CHANDIGARH,,2192604,,96.63,,2147950,,,96.31,,2257310,,96.2
32,DADRA & NAGAR HAVELI,,0,,0.0,,0,,,0.0,,0,,0.0
33,DAMAN & DIU,,266086,,72.84,,268900,,,85.26,,266700,,99.0
34,DELHI,,0,,0.0,,0,,,0.0,,0,,0.0
35,LAKSHADWEEP,,0,,0.0,,0,,,0.0,,0,,0.0
36,PUDUCHERRY,,0,,0.0,,0,,,0.0,,0,,0.0
