"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.2"
1,ANDHRA PRADESH,122920,79.08,49970,36.62,116650,50.62
2,ARUNACHAL PRADESH,517296,88.55,5362,1.46,173000,62.57
3,ASSAM,0,0.0,0,0.0,0,0.0
4,BIHAR,3408468,95.07,3183684,98.47,2549385,98.95
5,CHHATTISGARH,0,0.0,0,0.0,0,0.0
6,GOA,0,0.0,4,0.02,4,0.02
7,GUJARAT,23801,9.05,2,0.01,2,0.01
8,HARYANA,72747,100.0,6800,100.0,11100,100.0
9,HIMACHAL PRADESH,0,0.0,100,50.0,305,75.31
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,34314,100.0,244400,100.0,259000,100.0
12,KARNATAKA,0,0.0,0,0.0,0,0.0
13,KERALA,0,0.0,0,0.0,0,0.0
14,MADHYA PRADESH,0,0.0,0,0.0,0,0.0
15,MAHARAHSTRA,102465,67.98,130420,45.45,150089,61.81
16,MANIPUR,0,0.0,0,0.0,0,0.0
17,MEGHALAYA,22680,26.8,10000,13.67,0,0.0
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,0,0.0,0,0.0,0,0.0
22,RAJASTHAN,57190,22.81,97954,27.37,100841,25.66
23,SIKKIM,832,100.0,1000,100.0,0,0.0
24,TAMIL NADU,55437,27.51,83928,28.58,0,0.0
25,TELANGANA,0,0.0,0,0.0,0,0.0
26,TRIPURA,409351,100.0,0,0.0,5000,100.0
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,0.0,0,0.0
29,WEST BENGAL,85495,57.92,116000,71.58,203095,77.14
30,A & N ISLANDS,1794,13.47,1916,12.89,2150,14.0
31,CHANDIGARH,13525,100.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,2349,100.0,1800,100.0,2500,100.0
34,DELHI,1576079,99.95,0,0.0,0,0.0
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,0,0.0,0,0.0,0,0.0
