"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.2
1,ANDHRA PRADESH,130057,1.45,115059,1.27,179875,1.84
2,ARUNACHAL PRADESH,6160,2.88,13555,7.34,180000,52.83
3,ASSAM,0,0.0,0,0.0,0,0.0
4,BIHAR,37745,3.52,132002,7.77,220001,5.83
5,CHHATTISGARH,27984,1.45,37500,1.66,38000,1.62
6,GOA,7291,0.9,7949,0.7,8355,0.42
7,GUJARAT,342488,5.99,409606,4.69,534182,5.34
8,HARYANA,746,0.02,18700,0.54,176200,4.1
9,HIMACHAL PRADESH,12337,2.4,5200,0.87,5600,0.84
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,2321991,47.68,2268949,25.2,2660000,26.49
12,KARNATAKA,0,0.0,0,0.0,0,0.0
13,KERALA,133841,1.67,128900,1.28,148022,1.33
14,MADHYA PRADESH,66973,2.17,84601,2.11,83901,1.39
15,MAHARAHSTRA,267535,1.13,248677,1.13,371607,1.54
16,MANIPUR,0,0.0,0,0.0,0,0.0
17,MEGHALAYA,5906,2.4,7694,5.05,8900,3.73
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,441987,28.99,530120,25.18,595088,28.3
21,PUNJAB,573194,37.4,540344,29.06,496665,25.98
22,RAJASTHAN,125177,7.24,25646,1.35,29603,1.27
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,5053516,36.09,5409905,33.68,7668540,35.13
25,TELANGANA,4116,0.11,346125,9.08,356125,8.43
26,TRIPURA,1672,2.49,225,0.34,7296,3.42
27,UTTARAKHAND,94536,8.65,5001,0.35,4,0.0
28,UTTAR PRADESH,146258,5.05,171446,4.82,155249,3.82
29,WEST BENGAL,1620693,30.76,1286169,29.78,1994861,25.45
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,4399,4.41,4400,4.38,4900,4.54
34,DELHI,19905,0.86,26300,0.82,26300,0.79
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,21500,3.01,13000,1.48,14000,1.63
