"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),Unnamed: 4,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION",Unnamed: 6,2017-18 (REVISED ESTIMATE),Unnamed: 8,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.2"
1,ANDHRA PRADESH,,87279,,0.12,,117437,,0.15,117513,0.11
2,ARUNACHAL PRADESH,,0,,0.0,,0,,0.0,0,0.0
3,ASSAM,,2293,,0.01,,3578,,0.01,3596,0.01
4,BIHAR,,5926209,,23.48,,6025562,,16.53,6230004,17.74
5,CHHATTISGARH,,0,,0.0,,0,,0.0,0,0.0
6,GOA,,8707,,0.12,,8592,,0.11,12200,0.2
7,GUJARAT,,0,,0.0,,0,,0.0,0,0.0
8,HARYANA,,498066,,1.76,,541894,,1.64,523594,1.37
9,HIMACHAL PRADESH,,0,,0.0,,0,,0.0,0,0.0
10,JAMMU & KASHMIR,,92192,,0.45,,104478,,0.49,114478,0.49
11,JHARKHAND,,0,,0.0,,0,,0.0,0,0.0
12,KARNATAKA,,45469,,0.09,,62500,,0.11,65600,0.1
13,KERALA,,87895,,0.14,,117600,,0.17,92200,0.12
14,MADHYA PRADESH,,0,,0.0,,0,,0.0,0,0.0
15,MAHARAHSTRA,,70678,,0.04,,78530,,0.04,85994,0.04
16,MANIPUR,,0,,0.0,,9024,,0.29,9024,0.27
17,MEGHALAYA,,20,,0.0,,3475,,0.07,3700,0.08
18,MIZORAM,,0,,0.0,,0,,0.0,0,0.0
19,NAGALAND,,5571,,0.12,,4300,,0.08,4300,0.07
20,ODISHA,,25215,,0.09,,28260,,0.07,178840,0.35
21,PUNJAB,,91557,,0.19,,172749,,0.29,149855,0.23
22,RAJASTHAN,,625458,,0.52,,998740,,0.7,1028640,0.59
23,SIKKIM,,24800,,0.53,,0,,0.0,1,0.0
24,TAMIL NADU,,17556,,0.02,,28370,,0.03,13490,0.01
25,TELANGANA,,2851,,0.01,,17892,,0.04,17892,0.04
26,TRIPURA,,52646,,0.67,,103806,,0.98,16960,0.12
27,UTTARAKHAND,,1489,,0.01,,2059,,0.01,2763,0.01
28,UTTAR PRADESH,,2585,,0.0,,7107,,0.01,6907,0.01
29,WEST BENGAL,,6136,,0.01,,18621,,0.02,33316,0.03
30,A & N ISLANDS,,20171,,1.23,,12000,,0.68,12000,0.66
31,CHANDIGARH,,227,,0.02,,330,,0.02,330,0.02
32,DADRA & NAGAR HAVELI,,0,,0.0,,0,,0.0,0,0.0
33,DAMAN & DIU,,0,,0.0,,0,,0.0,0,0.0
34,DELHI,,0,,0.0,,1000,,0.0,500,0.0
35,LAKSHADWEEP,,0,,0.0,,0,,0.0,0,0.0
36,PUDUCHERRY,,1950,,0.07,,290,,0.01,2810,0.06
