"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.1",Unnamed: 7,2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.2"
1,ANDHRA PRADESH,122665,,0.45,138943,0.47,132733,,0.36
2,ARUNACHAL PRADESH,522332,,45.35,0,0.0,0,,0.0
3,ASSAM,72548,,0.46,216105,1.1,414727,,2.04
4,BIHAR,42340,,0.18,566225,1.63,2048001,,4.12
5,CHHATTISGARH,0,,0.0,500,0.01,500,,0.01
6,GOA,242522,,11.02,354664,14.57,683112,,21.15
7,GUJARAT,266864,,1.62,392936,2.31,323412,,1.62
8,HARYANA,572804,,4.59,679700,4.55,850000,,5.31
9,HIMACHAL PRADESH,18311,,0.52,36500,0.74,25500,,0.56
10,JAMMU & KASHMIR,0,,0.0,0,0.0,0,,0.0
11,JHARKHAND,0,,0.0,0,0.0,0,,0.0
12,KARNATAKA,381111,,1.18,362500,1.26,352300,,1.28
13,KERALA,1826676,,7.15,1823930,6.6,3134267,,10.03
14,MADHYA PRADESH,18498,,0.11,5000,0.03,5000,,0.03
15,MAHARAHSTRA,59760,,0.12,8000,0.01,100000,,0.17
16,MANIPUR,18138,,1.03,64740,2.85,75190,,3.3
17,MEGHALAYA,461044,,22.86,427663,20.21,31551,,1.49
18,MIZORAM,3966,,0.32,2271,0.16,0,,0.0
19,NAGALAND,26387,,3.19,18068,1.91,0,,0.0
20,ODISHA,1875294,,10.43,1198125,6.95,1855075,,9.44
21,PUNJAB,946294,,12.69,605338,9.54,627807,,11.73
22,RAJASTHAN,1136923,,9.79,1225289,10.34,1307768,,9.75
23,SIKKIM,0,,0.0,0,0.0,0,,0.0
24,TAMIL NADU,1191,,0.01,1200,0.0,1200,,0.0
25,TELANGANA,23450,,0.17,6550,0.04,29971,,0.16
26,TRIPURA,3458,,0.42,4728,0.46,8082,,0.65
27,UTTARAKHAND,0,,0.0,12422,0.39,11603,,0.26
28,UTTAR PRADESH,24127,,0.13,783318,3.65,812445,,3.33
29,WEST BENGAL,656436,,1.66,626683,1.13,439278,,0.78
30,A & N ISLANDS,311696,,96.03,362470,95.81,398840,,96.38
31,CHANDIGARH,4321,,0.28,0,0.0,0,,0.0
32,DADRA & NAGAR HAVELI,0,,0.0,0,0.0,0,,0.0
33,DAMAN & DIU,0,,0.0,0,0.0,0,,0.0
34,DELHI,761935,,26.98,171300,5.73,261000,,7.27
35,LAKSHADWEEP,0,,0.0,0,0.0,0,,0.0
36,PUDUCHERRY,8000,,0.68,7000,0.63,6002,,0.41
