"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,Unnamed: 3,2016-17 (ACTUAL),Unnamed: 5,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION",Unnamed: 7,2017-18 (REVISED ESTIMATE),Unnamed: 9,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.1",Unnamed: 11,2018-19 (BUDGET ESTIMATE),Unnamed: 13,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.2"
1,ANDHRA PRADESH,0,,,0.0,,0,,0.0,,0,,0.0,
2,ARUNACHAL PRADESH,0,,,0.0,,0,,0.0,,0,,0.0,
3,ASSAM,342628,,,56.59,,624830,,63.74,,712438,,62.21,
4,BIHAR,245274,,,25.64,,358014,,30.77,,328291,,27.71,
5,CHHATTISGARH,0,,,0.0,,0,,0.0,,0,,0.0,
6,GOA,0,,,0.0,,0,,0.0,,0,,0.0,
7,GUJARAT,0,,,0.0,,0,,0.0,,0,,0.0,
8,HARYANA,0,,,0.0,,0,,0.0,,0,,0.0,
9,HIMACHAL PRADESH,0,,,0.0,,0,,0.0,,0,,0.0,
10,JAMMU & KASHMIR,28268,,,100.0,,35630,,100.0,,48630,,100.0,
11,JHARKHAND,0,,,0.0,,0,,0.0,,0,,0.0,
12,KARNATAKA,0,,,0.0,,0,,0.0,,0,,0.0,
13,KERALA,136400,,,23.11,,219833,,36.96,,337725,,46.21,
14,MADHYA PRADESH,0,,,0.0,,0,,0.0,,0,,0.0,
15,MAHARAHSTRA,4000,,,0.4,,4500,,0.09,,5000,,0.37,
16,MANIPUR,0,,,0.0,,0,,0.0,,0,,0.0,
17,MEGHALAYA,0,,,0.0,,0,,0.0,,0,,0.0,
18,MIZORAM,6417,,,3.89,,7315,,2.77,,5689,,3.3,
19,NAGALAND,0,,,0.0,,0,,0.0,,0,,0.0,
20,ODISHA,0,,,0.0,,0,,0.0,,0,,0.0,
21,PUNJAB,0,,,0.0,,0,,0.0,,0,,0.0,
22,RAJASTHAN,69214,,,9.86,,85610,,14.49,,104781,,15.56,
23,SIKKIM,0,,,0.0,,0,,0.0,,0,,0.0,
24,TAMIL NADU,0,,,0.0,,0,,0.0,,0,,0.0,
25,TELANGANA,0,,,0.0,,0,,0.0,,0,,0.0,
26,TRIPURA,0,,,0.0,,0,,0.0,,0,,0.0,
27,UTTARAKHAND,0,,,0.0,,0,,0.0,,0,,0.0,
28,UTTAR PRADESH,33516,,,2.54,,39157,,1.59,,46649,,1.76,
29,WEST BENGAL,1598449,,,32.09,,2129776,,51.13,,2130866,,47.04,
30,A & N ISLANDS,0,,,0.0,,0,,0.0,,0,,0.0,
31,CHANDIGARH,0,,,0.0,,0,,0.0,,0,,0.0,
32,DADRA & NAGAR HAVE,0,,,0.0,,0,,0.0,,0,,0.0,
33,DAMAN & DIU,0,,,0.0,,0,,0.0,,0,,0.0,
34,DELHI,0,,,0.0,,0,,0.0,,0,,0.0,
35,LAKSHADWEEP,0,,,0.0,,0,,0.0,,0,,0.0,
36,PUDUCHERRY,0,,,0.0,,0,,0.0,,0,,0.0,
