"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.2
1,ANDHRA PRADESH,5730307,63.85,6232388,69.03,6245750,63.97
2,ARUNACHAL PRADESH,207287,96.98,142337,77.11,160710,47.17
3,ASSAM,587325,27.62,1009107,25.05,1151805,32.35
4,BIHAR,360236,33.63,452169,26.63,547217,14.51
5,CHHATTISGARH,629794,32.7,908195,40.2,1061180,45.25
6,GOA,292030,36.25,497508,44.01,1350903,67.68
7,GUJARAT,2471944,43.24,2867812,32.85,3352929,33.5
8,HARYANA,1846485,52.35,1737800,50.1,1975560,46.0
9,HIMACHAL PRADESH,340592,66.39,415219,69.44,448580,67.31
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,290790,5.97,592443,6.58,870818,8.67
12,KARNATAKA,2724596,35.3,2983000,37.8,3152600,37.54
13,KERALA,1934759,24.19,2320190,23.05,2587398,23.21
14,MADHYA PRADESH,1409416,45.71,1439017,35.89,2260261,37.51
15,MAHARAHSTRA,3460793,14.63,3912716,17.7,4302955,17.78
16,MANIPUR,83688,19.04,105432,63.01,116265,66.0
17,MEGHALAYA,143763,58.46,130855,85.95,197480,82.8
18,MIZORAM,84681,92.55,193493,96.29,98480,85.3
19,NAGALAND,87745,61.34,107727,54.02,108482,63.23
20,ODISHA,426743,27.99,662443,31.46,583311,27.74
21,PUNJAB,892755,58.25,1243493,66.89,1337688,69.96
22,RAJASTHAN,1401182,81.04,1501612,79.2,1905333,81.88
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,2249336,16.06,2705409,16.84,5191479,23.78
25,TELANGANA,2337669,60.66,2183266,57.29,2438272,57.69
26,TRIPURA,58142,86.53,63919,97.15,72310,33.89
27,UTTARAKHAND,583475,53.37,905976,62.54,1117664,60.61
28,UTTAR PRADESH,1670464,57.73,2275945,64.01,2578010,63.36
29,WEST BENGAL,1333179,25.31,1490756,34.51,1485737,18.95
30,A & N ISLANDS,186114,100.0,200900,100.0,200700,100.0
31,CHANDIGARH,141726,21.05,146940,19.07,154340,18.92
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,64998,65.1,68300,67.96,66400,61.54
34,DELHI,842116,36.4,1163554,36.2,1448420,43.6
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,286682,40.08,311098,35.32,311128,36.16
