"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.2
1,ANDHRA PRADESH,98996,1.1,73097,0.81,104241,1.07
2,ARUNACHAL PRADESH,300,0.14,0,0.0,0,0.0
3,ASSAM,1143718,53.78,2363134,58.66,1665067,46.77
4,BIHAR,34754,3.24,49654,2.92,53866,1.43
5,CHHATTISGARH,895451,46.49,839920,37.18,645740,27.53
6,GOA,0,0.0,0,0.0,0,0.0
7,GUJARAT,96857,1.69,2212560,25.35,2259506,22.57
8,HARYANA,125868,3.57,224700,6.48,111750,2.6
9,HIMACHAL PRADESH,19208,3.74,22789,3.81,26877,4.03
10,JAMMU & KASHMIR,727675,87.41,1156151,89.96,1259986,86.64
11,JHARKHAND,20255,0.42,28023,0.31,31218,0.31
12,KARNATAKA,241863,3.13,325200,4.12,332400,3.96
13,KERALA,169695,2.12,196342,1.95,230596,2.07
14,MADHYA PRADESH,61979,2.01,127672,3.18,137967,2.29
15,MAHARAHSTRA,434967,1.84,590615,2.67,631982,2.61
16,MANIPUR,5856,1.33,11535,6.89,9535,5.41
17,MEGHALAYA,1245,0.51,5677,3.73,7730,3.24
18,MIZORAM,6817,7.45,7465,3.71,16974,14.7
19,NAGALAND,38809,27.13,83178,41.71,46596,27.16
20,ODISHA,80229,5.26,104266,4.95,107555,5.11
21,PUNJAB,66791,4.36,75253,4.05,77605,4.06
22,RAJASTHAN,138261,8.0,150920,7.96,173498,7.46
23,SIKKIM,12140,100.0,75875,100.0,80501,100.0
24,TAMIL NADU,4793435,34.23,5567904,34.66,5605541,25.68
25,TELANGANA,53096,1.38,59709,1.57,66082,1.56
26,TRIPURA,0,0.0,0,0.0,0,0.0
27,UTTARAKHAND,15997,1.46,81088,5.6,187737,10.18
28,UTTAR PRADESH,118561,4.1,134772,3.79,154261,3.79
29,WEST BENGAL,68651,1.3,54489,1.26,172945,2.21
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,18103,2.69,22620,2.94,23120,2.83
32,DADRA & NAGAR HAVELI,47997,100.0,50400,99.6,48300,99.59
33,DAMAN & DIU,30441,30.49,27800,27.66,28100,26.04
34,DELHI,105423,4.56,136030,4.23,152584,4.59
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,0,0.0,0,0.0,22120,2.57
