"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),Unnamed: 4,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION",Unnamed: 6,2017-18 (REVISED ESTIMATE),Unnamed: 8,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.2"
1,ANDHRA PRADESH,,344384,,0.48,,383744,,0.49,525703,0.47
2,ARUNACHAL PRADESH,,0,,0.0,,0,,0.0,0,0.0
3,ASSAM,,1505,,0.0,,3188,,0.01,2793,0.01
4,BIHAR,,0,,0.0,,0,,0.0,0,0.0
5,CHHATTISGARH,,107709,,0.28,,185269,,0.44,200440,0.36
6,GOA,,0,,0.0,,0,,0.0,0,0.0
7,GUJARAT,,22163,,0.05,,28082,,0.06,31651,0.06
8,HARYANA,,278549,,0.98,,325665,,0.98,599800,1.57
9,HIMACHAL PRADESH,,9415,,0.06,,7800,,0.04,100,0.0
10,JAMMU & KASHMIR,,57740,,0.28,,64068,,0.3,65736,0.28
11,JHARKHAND,,0,,0.0,,0,,0.0,0,0.0
12,KARNATAKA,,0,,0.0,,0,,0.0,0,0.0
13,KERALA,,34835,,0.05,,54000,,0.08,80000,0.11
14,MADHYA PRADESH,,133267,,0.25,,196130,,0.31,216357,0.19
15,MAHARAHSTRA,,724424,,0.44,,857636,,0.47,894449,0.43
16,MANIPUR,,8096,,0.31,,8294,,0.27,9117,0.27
17,MEGHALAYA,,13614,,0.24,,19600,,0.4,21300,0.44
18,MIZORAM,,16467,,0.69,,30715,,1.24,15147,0.61
19,NAGALAND,,278321,,5.87,,188710,,3.67,262263,4.13
20,ODISHA,,292488,,0.99,,463916,,1.12,527795,1.04
21,PUNJAB,,4367,,0.01,,8210,,0.01,7730,0.01
22,RAJASTHAN,,0,,0.0,,0,,0.0,0,0.0
23,SIKKIM,,0,,0.0,,0,,0.0,0,0.0
24,TAMIL NADU,,127440,,0.12,,155045,,0.14,133676,0.11
25,TELANGANA,,153002,,0.41,,372388,,0.91,419383,0.93
26,TRIPURA,,8749,,0.11,,7262,,0.07,1120,0.01
27,UTTARAKHAND,,12519,,0.05,,14566,,0.05,16517,0.05
28,UTTAR PRADESH,,0,,0.0,,0,,0.0,0,0.0
29,WEST BENGAL,,12616,,0.01,,33827,,0.03,30693,0.02
30,A & N ISLANDS,,0,,0.0,,0,,0.0,0,0.0
31,CHANDIGARH,,49538,,3.34,,55125,,3.32,60600,3.58
32,DADRA & NAGAR HAVELI,,23,,0.01,,500,,0.12,500,0.12
33,DAMAN & DIU,,0,,0.0,,0,,0.0,0,0.0
34,DELHI,,273298,,0.55,,211000,,0.34,547000,0.84
35,LAKSHADWEEP,,0,,0.0,,0,,0.0,0,0.0
36,PUDUCHERRY,,454522,,15.72,,474511,,15.88,2418448,48.37
