"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.2"
1,ANDHRA PRADESH,0,0.0,0,0.0,0,0.0
2,ARUNACHAL PRADESH,66892,11.45,89963,24.43,103473,37.43
3,ASSAM,283303,99.0,331339,47.98,386601,52.21
4,BIHAR,20697,0.58,49486,1.53,26956,1.05
5,CHHATTISGARH,24999,100.0,148300,26.84,110800,24.79
6,GOA,0,0.0,0,0.0,0,0.0
7,GUJARAT,919,0.35,1050,5.37,965,4.2
8,HARYANA,0,0.0,0,0.0,0,0.0
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,0,0.0,0,0.0,0,0.0
12,KARNATAKA,398986,100.0,129900,100.0,90400,100.0
13,KERALA,36500,24.5,37500,12.0,51500,23.15
14,MADHYA PRADESH,0,0.0,0,0.0,0,0.0
15,MAHARAHSTRA,0,0.0,0,0.0,0,0.0
16,MANIPUR,51461,100.0,57732,100.0,62510,100.0
17,MEGHALAYA,4827,5.7,6850,9.37,8460,11.0
18,MIZORAM,31566,93.86,35890,94.51,13957,88.15
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,0,0.0,0,0.0,0,0.0
22,RAJASTHAN,193535,77.19,259991,72.63,292177,74.34
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,14776,7.33,20253,6.9,22515,10.62
25,TELANGANA,184684,100.0,203649,100.0,219352,100.0
26,TRIPURA,0,0.0,0,0.0,0,0.0
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,0.0,0,0.0
29,WEST BENGAL,51758,35.06,34118,21.05,47005,17.85
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,13200,100.0,17000,100.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,0,0.0,0,0.0,0,0.0
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,0,0.0,0,0.0,0,0.0
