"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),Unnamed: 3,% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION.1,2018-19 (BUDGET ESTIMATE),Unnamed: 8,% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION.2
1,ANDHRA PRADESH,371853,,92.1,376261,91.91,415617,91.91,
2,ARUNACHAL PRADESH,0,,0.0,0,0.0,0,0.0,
3,ASSAM,169912,,10.13,307718,12.69,270584,8.76,
4,BIHAR,940330,,28.76,1532850,36.64,1537495,35.64,
5,CHHATTISGARH,6059,,23.21,7500,21.01,7500,21.23,
6,GOA,2283,,9.95,7000,9.17,8000,9.66,
7,GUJARAT,87223,,73.5,97443,67.79,109306,77.89,
8,HARYANA,0,,0.0,0,0.0,0,0.0,
9,HIMACHAL PRADESH,48295,,55.61,54483,53.72,65748,56.18,
10,JAMMU & KASHMIR,0,,0.0,0,0.0,0,0.0,
11,JHARKHAND,36112,,11.53,60631,10.85,63739,11.07,
12,KARNATAKA,371323,,98.67,362100,98.32,407600,98.86,
13,KERALA,0,,0.0,0,0.0,0,0.0,
14,MADHYA PRADESH,112922,,100.0,173906,100.0,150000,100.0,
15,MAHARAHSTRA,953,,98.35,1127,98.77,1250,98.58,
16,MANIPUR,0,,0.0,120,0.58,120,0.61,
17,MEGHALAYA,0,,0.0,0,0.0,250,62.5,
18,MIZORAM,0,,0.0,0,0.0,0,0.0,
19,NAGALAND,0,,0.0,0,0.0,0,0.0,
20,ODISHA,337356,,68.17,466990,60.99,492258,66.33,
21,PUNJAB,0,,0.0,0,0.0,0,0.0,
22,RAJASTHAN,1846068,,88.81,2168826,87.57,2710835,87.36,
23,SIKKIM,0,,0.0,0,0.0,0,0.0,
24,TAMIL NADU,52015,,18.49,59557,10.45,62245,12.59,
25,TELANGANA,32306,,78.01,32254,75.91,29354,71.09,
26,TRIPURA,20,,0.02,15,0.01,15,0.01,
27,UTTARAKHAND,178265,,92.84,201422,90.3,237732,86.46,
28,UTTAR PRADESH,2011782,,94.41,2226778,94.58,2543534,94.81,
29,WEST BENGAL,39207,,6.51,46095,7.5,50772,4.08,
30,A & N ISLANDS,0,,0.0,0,0.0,0,0.0,
31,CHANDIGARH,0,,0.0,0,0.0,0,0.0,
32,DADRA & NAGAR HAVELI,0,,0.0,0,0.0,0,0.0,
33,DAMAN & DIU,0,,0.0,0,0.0,0,0.0,
34,DELHI,0,,0.0,0,0.0,0,0.0,
35,LAKSHADWEEP,0,,0.0,0,0.0,0,0.0,
36,PUDUCHERRY,0,,0.0,0,0.0,0,0.0,
