"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),Unnamed: 3,% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION.1,2018-19 (BUDGET ESTIMATE),Unnamed: 8,% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION.2
1,ANDHRA PRADESH,0,,0.0,0,0.0,0,,0.0
2,ARUNACHAL PRADESH,0,,0.0,0,0.0,0,,0.0
3,ASSAM,20212,,1.21,32784,1.35,38137,,1.24
4,BIHAR,0,,0.0,0,0.0,0,,0.0
5,CHHATTISGARH,0,,0.0,0,0.0,0,,0.0
6,GOA,0,,0.0,0,0.0,0,,0.0
7,GUJARAT,0,,0.0,0,0.0,0,,0.0
8,HARYANA,0,,0.0,0,0.0,0,,0.0
9,HIMACHAL PRADESH,31749,,36.55,37949,37.42,42261,,36.11
10,JAMMU & KASHMIR,0,,0.0,0,0.0,0,,0.0
11,JHARKHAND,0,,0.0,0,0.0,0,,0.0
12,KARNATAKA,0,,0.0,0,0.0,0,,0.0
13,KERALA,0,,0.0,0,0.0,0,,0.0
14,MADHYA PRADESH,0,,0.0,0,0.0,0,,0.0
15,MAHARAHSTRA,0,,0.0,0,0.0,0,,0.0
16,MANIPUR,383,,6.99,12995,63.04,11995,,61.15
17,MEGHALAYA,0,,0.0,0,0.0,0,,0.0
18,MIZORAM,0,,0.0,0,0.0,0,,0.0
19,NAGALAND,0,,0.0,0,0.0,0,,0.0
20,ODISHA,0,,0.0,0,0.0,0,,0.0
21,PUNJAB,128290,,91.31,163613,73.67,160683,,66.66
22,RAJASTHAN,12575,,0.6,13690,0.55,16190,,0.52
23,SIKKIM,0,,0.0,0,0.0,0,,0.0
24,TAMIL NADU,90666,,32.23,101311,17.78,108675,,21.99
25,TELANGANA,0,,0.0,10233,24.09,11939,,28.91
26,TRIPURA,0,,0.0,0,0.0,0,,0.0
27,UTTARAKHAND,5510,,2.87,6652,2.98,8521,,3.1
28,UTTAR PRADESH,4619,,0.22,4263,0.18,5012,,0.19
29,WEST BENGAL,0,,0.0,0,0.0,517800,,41.65
30,A & N ISLANDS,0,,0.0,0,0.0,0,,0.0
31,CHANDIGARH,0,,0.0,21846,0.0,26675,,0.0
32,DADRA & NAGAR HAVELI,0,,0.0,0,0.0,0,,0.0
33,DAMAN & DIU,0,,0.0,0,0.0,0,,0.0
34,DELHI,0,,0.0,0,0.0,0,,0.0
35,LAKSHADWEEP,0,,0.0,0,0.0,0,,0.0
36,PUDUCHERRY,0,,0.0,0,0.0,0,,0.0
