"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.2
1,ANDHRA PRADESH,7784,0.09,15000,0.17,13000,0.13
2,ARUNACHAL PRADESH,0,0.0,0,0.0,0,0.0
3,ASSAM,117,0.01,6300,0.16,23500,0.66
4,BIHAR,0,0.0,0,0.0,0,0.0
5,CHHATTISGARH,1357,0.07,2000,0.09,2200,0.09
6,GOA,0,0.0,0,0.0,0,0.0
7,GUJARAT,0,0.0,0,0.0,0,0.0
8,HARYANA,8371,0.24,10000,0.29,11000,0.26
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,0,0.0,0,0.0,0,0.0
12,KARNATAKA,158844,2.06,129300,1.64,349700,4.16
13,KERALA,0,0.0,10,0.0,10,0.0
14,MADHYA PRADESH,32,0.0,300,0.01,400,0.01
15,MAHARAHSTRA,9013500,38.1,4541114,20.55,6050014,25.0
16,MANIPUR,0,0.0,350,0.21,350,0.2
17,MEGHALAYA,5001,2.03,6016,3.95,6630,2.78
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,16500,11.53,8500,4.26,16500,9.62
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,3,0.0,5,0.0,5,0.0
22,RAJASTHAN,19346,1.12,32137,1.7,27021,1.16
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,0,0.0,120,0.0,120,0.0
25,TELANGANA,5237,0.14,2000,0.05,100,0.0
26,TRIPURA,534,0.79,1650,2.51,1040,0.49
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,0.0,0,0.0
29,WEST BENGAL,0,0.0,0,0.0,0,0.0
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,0,0.0,0,0.0,0,0.0
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,41,0.01,41,0.0,90,0.01
