"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.2"
1,ANDHRA PRADESH,32520,20.92,86486,58.3,113783,4.47
2,ARUNACHAL PRADESH,0,0.0,272880,0.0,0,68.07
3,ASSAM,2858,1.0,353610,2.08,309031,2.07
4,BIHAR,156000,4.35,0,22.62,0,0.0
5,CHHATTISGARH,0,0.0,404200,100.0,336200,100.0
6,GOA,16077,100.0,19468,99.99,20194,99.99
7,GUJARAT,226641,86.19,2,84.57,4,0.01
8,HARYANA,0,0.0,0,100.0,0,100.0
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,0,0.0,0,0.0,0,0.0
12,KARNATAKA,0,0.0,0,0.0,0,0.0
13,KERALA,0,0.0,0,0.0,0,0.0
14,MADHYA PRADESH,0,0.0,0,0.0,0,0.0
15,MAHARAHSTRA,48258,32.02,156516,42.91,92736,59.35
16,MANIPUR,0,0.0,0,0.0,0,0.0
17,MEGHALAYA,57109,67.49,56040,74.49,68170,75.59
18,MIZORAM,0,0.0,120,0.0,120,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,2148,100.0,3500,100.0,3500,100.0
22,RAJASTHAN,0,0.0,0,77.0,0,75.95
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,131307,65.16,189452,0.0,189452,0.0
25,TELANGANA,0,0.0,0,0.0,0,0.0
26,TRIPURA,0,0.0,0,100.0,0,100.0
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,99.92,0,99.92
29,WEST BENGAL,10354,7.01,11935,51.46,13191,15.5
30,A & N ISLANDS,11524,86.53,12945,87.98,13211,88.66
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,1400,100.0,1400,100.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,716,0.05,900,0.05,950,100.0
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,281485,100.0,36862,100.0,42893,100.0
