"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.2
1,ANDHRA PRADESH,0,0.0,0,0.0,0,0.0
2,ARUNACHAL PRADESH,0,0.0,28700,15.55,0,0.0
3,ASSAM,26301,1.24,46657,1.16,42585,1.2
4,BIHAR,6893,0.64,9869,0.58,10377,0.28
5,CHHATTISGARH,0,0.0,0,0.0,0,0.0
6,GOA,207826,25.8,249889,22.11,254870,12.77
7,GUJARAT,293413,5.13,320621,3.67,378111,3.78
8,HARYANA,0,0.0,0,0.0,0,0.0
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,104827,12.59,129100,10.04,194300,13.36
11,JHARKHAND,1960,0.04,2793,0.03,2694,0.03
12,KARNATAKA,122422,1.59,92500,1.17,91600,1.09
13,KERALA,636916,7.96,785476,7.8,867442,7.78
14,MADHYA PRADESH,0,0.0,0,0.0,0,0.0
15,MAHARAHSTRA,963794,4.07,1184800,5.36,1249610,5.16
16,MANIPUR,0,0.0,0,0.0,0,0.0
17,MEGHALAYA,90000,36.6,2000,1.31,17760,7.45
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,6587,0.43,10099,0.48,9376,0.45
21,PUNJAB,0,0.0,0,0.0,0,0.0
22,RAJASTHAN,0,0.0,0,0.0,0,0.0
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,0,0.0,0,0.0,0,0.0
25,TELANGANA,0,0.0,0,0.0,0,0.0
26,TRIPURA,0,0.0,0,0.0,0,0.0
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,0.0,0,0.0
29,WEST BENGAL,38165,0.72,54166,1.25,56856,0.73
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,0,0.0,0,0.0,0,0.0
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,10516,1.47,11855,1.35,13762,1.6
