"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),Unnamed: 4,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION",Unnamed: 6,2017-18 (REVISED ESTIMATE),Unnamed: 8,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.2"
1,ANDHRA PRADESH,825184,,1.15,,966848,,1.24,,1010331,0.91
2,ARUNACHAL PRADESH,0,,0.0,,0,,0.0,,0,0.0
3,ASSAM,0,,0.0,,0,,0.0,,0,0.0
4,BIHAR,0,,0.0,,0,,0.0,,0,0.0
5,CHHATTISGARH,811982,,2.13,,668275,,1.58,,717275,1.3
6,GOA,0,,0.0,,0,,0.0,,0,0.0
7,GUJARAT,496868,,1.15,,687000,,1.41,,687000,1.23
8,HARYANA,0,,0.0,,0,,0.0,,0,0.0
9,HIMACHAL PRADESH,0,,0.0,,0,,0.0,,0,0.0
10,JAMMU & KASHMIR,0,,0.0,,0,,0.0,,0,0.0
11,JHARKHAND,0,,0.0,,0,,0.0,,0,0.0
12,KARNATAKA,0,,0.0,,0,,0.0,,0,0.0
13,KERALA,757394,,1.17,,573080,,0.83,,636629,0.86
14,MADHYA PRADESH,884242,,1.69,,800000,,1.26,,630000,0.55
15,MAHARAHSTRA,0,,0.0,,0,,0.0,,0,0.0
16,MANIPUR,0,,0.0,,0,,0.0,,0,0.0
17,MEGHALAYA,864,,0.02,,1765,,0.04,,1842,0.04
18,MIZORAM,0,,0.0,,0,,0.0,,0,0.0
19,NAGALAND,10018,,0.21,,25018,,0.49,,10000,0.16
20,ODISHA,0,,0.0,,0,,0.0,,0,0.0
21,PUNJAB,0,,0.0,,0,,0.0,,399200,0.62
22,RAJASTHAN,0,,0.0,,0,,0.0,,0,0.0
23,SIKKIM,0,,0.0,,0,,0.0,,0,0.0
24,TAMIL NADU,535334,,0.52,,630000,,0.56,,665000,0.56
25,TELANGANA,408863,,1.1,,427262,,1.04,,507501,1.13
26,TRIPURA,6991,,0.09,,1555,,0.01,,2800,0.02
27,UTTARAKHAND,0,,0.0,,0,,0.0,,0,0.0
28,UTTAR PRADESH,0,,0.0,,0,,0.0,,0,0.0
29,WEST BENGAL,561949,,0.52,,557898,,0.5,,1501306,1.18
30,A & N ISLANDS,12254,,0.75,,14658,,0.83,,15200,0.84
31,CHANDIGARH,0,,0.0,,0,,0.0,,0,0.0
32,DADRA & NAGAR HAVEL,0,,0.0,,0,,0.0,,0,0.0
33,DAMAN & DIU,0,,0.0,,0,,0.0,,0,0.0
34,DELHI,958534,,1.93,,1348000,,2.15,,1223800,1.89
35,LAKSHADWEEP,0,,0.0,,0,,0.0,,0,0.0
36,PUDUCHERRY,0,,0.0,,0,,0.0,,0,0.0
