"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),Unnamed: 4,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION",Unnamed: 6,2017-18 (REVISED ESTIMATE),Unnamed: 8,Unnamed: 9,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.1",Unnamed: 11,2018-19 (BUDGET ESTIMATE),Unnamed: 13,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.2"
1,,ANDHRA PRADESH,,1551644,,2.11,,1784423,,2.22,2162505,,2.29,
2,,ARUNACHAL PRADESH,,0,,0.0,,0,,0.0,0,,0.0,
3,,ASSAM,,40424258,,64.27,,50242916,,65.04,52577161,,65.01,
4,,BIHAR,,32182723,,65.33,,35020500,,60.92,36092100,,62.11,
5,,CHHATTISGARH,,18627245,,36.17,,31980017,,51.7,35082530,,40.8,
6,,GOA,,1668963,,55.74,,1746976,,46.93,2051989,,46.08,
7,,GUJARAT,,613392,,0.56,,1008364,,0.75,642066,,0.52,
8,,HARYANA,,47016745,,83.68,,53022450,,83.42,59062700,,82.85,
9,,HIMACHAL PRADESH,,21198813,,94.33,,3938679,,65.29,29206994,,92.63,
10,,JAMMU & KASHMIR,,0,,0.0,,0,,0.0,0,,0.0,
11,,JHARKHAND,,35422960,,77.53,,38931133,,81.48,43189143,,76.06,
12,,KARNATAKA,,1261,,0.0,,0,,0.0,0,,0.0,
13,,KERALA,,20066792,,31.69,,22154945,,33.59,22519096,,32.78,
14,,MADHYA PRADESH,,43194625,,44.14,,61376379,,50.16,79498094,,76.35,
15,,MAHARAHSTRA,,0,,0.0,,0,,0.0,0,,0.0,
16,,MANIPUR,,2935449,,86.88,,3521574,,84.09,3653755,,85.02,
17,,MEGHALAYA,,2585657,,28.74,,2772431,,28.04,3194233,,43.62,
18,,MIZORAM,,3868399,,88.6,,3992834,,87.95,4259810,,93.25,
19,,NAGALAND,,4450943,,95.13,,4954764,,94.06,6198171,,98.76,
20,,ODISHA,,40902686,,92.54,,54327923,,91.53,53594548,,89.15,
21,,PUNJAB,,22566978,,81.59,,24778785,,68.62,23088574,,65.67,
22,,RAJASTHAN,,2701862,,2.54,,2825162,,3.8,3491530,,4.06,
23,,SIKKIM,,6718,,0.53,,38082,,2.48,30000,,1.94,
24,,TAMIL NADU,,63679962,,58.86,,65680702,,55.83,80006483,,68.9,
25,,TELANGANA,,2529498,,7.83,,2854517,,7.06,3060435,,7.14,
26,,TRIPURA,,684302,,10.65,,205871,,2.5,1711304,,18.13,
27,,UTTARAKHAND,,17472936,,92.13,,20098202,,89.46,24808244,,88.85,
28,,UTTAR PRADESH,,167797,,0.05,,158912,,0.04,190262,,0.04,
29,,WEST BENGAL,,44393,,0.07,,49278,,0.07,54395,,0.06,
30,,A & N ISLANDS,,2394978,,88.63,,2804000,,89.94,2884950,,89.87,
31,,CHANDIGARH,,0,,0.0,,0,,0.0,0,,0.0,
32,,DADRA & NAGAR HAVELI,,589157,,54.95,,541700,,55.18,611600,,100.0,
33,,DAMAN & DIU,,0,,0.0,,0,,0.0,0,,0.0,
34,,DELHI,,0,,0.0,,1688850,,7.73,1262050,,5.65,
35,,LAKSHADWEEP,,466222,,100.0,,510000,,100.0,498000,,100.0,
36,,PUDUCHERRY,,1854642,,76.74,,1982091,,78.13,95015,,3.76,
