"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.1",Unnamed: 7,2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.2"
1,ANDHRA PRADESH,30666,,0.11,40000,0.13,40000,,0.11
2,ARUNACHAL PRADESH,0,,0.0,650,0.1,0,,0.0
3,ASSAM,1207,,0.01,5893,0.03,6143,,0.03
4,BIHAR,200010,,0.85,374525,1.08,410000,,0.83
5,CHHATTISGARH,80009,,1.49,60400,0.75,60400,,0.73
6,GOA,0,,0.0,0,0.0,0,,0.0
7,GUJARAT,1500000,,9.08,1633000,9.6,1650000,,8.29
8,HARYANA,18349,,0.15,28000,0.19,28000,,0.17
9,HIMACHAL PRADESH,51980,,1.48,100000,2.02,100000,,2.19
10,JAMMU & KASHMIR,300,,0.01,0,0.0,0,,0.0
11,JHARKHAND,0,,0.0,0,0.0,0,,0.0
12,KARNATAKA,47472,,0.15,61000,0.21,958600,,3.49
13,KERALA,71323,,0.28,73265,0.27,119825,,0.38
14,MADHYA PRADESH,86706,,0.52,34504,0.2,16452,,0.09
15,MAHARAHSTRA,6813,,0.01,9355,0.02,11472,,0.02
16,MANIPUR,2500,,0.14,4500,0.2,4500,,0.2
17,MEGHALAYA,320049,,15.87,65312,3.09,62292,,2.94
18,MIZORAM,21972,,1.77,25842,1.78,19126,,1.33
19,NAGALAND,11252,,1.36,40000,4.24,40000,,3.68
20,ODISHA,510554,,2.84,300652,1.74,565004,,2.87
21,PUNJAB,0,,0.0,1025,0.02,1010,,0.02
22,RAJASTHAN,199384,,1.72,200500,1.69,200500,,1.49
23,SIKKIM,0,,0.0,0,0.0,0,,0.0
24,TAMIL NADU,26054,,0.12,24531,0.1,26414,,0.1
25,TELANGANA,9313,,0.07,1200,0.01,10,,0.0
26,TRIPURA,2173,,0.27,8200,0.8,4108,,0.33
27,UTTARAKHAND,0,,0.0,2002,0.06,2002,,0.05
28,UTTAR PRADESH,0,,0.0,0,0.0,0,,0.0
29,WEST BENGAL,0,,0.0,80,0.0,82,,0.0
30,A & N ISLANDS,12895,,3.97,15850,4.19,15000,,3.62
31,CHANDIGARH,0,,0.0,0,0.0,0,,0.0
32,DADRA & NAGAR HAVELI,0,,0.0,0,0.0,0,,0.0
33,DAMAN & DIU,0,,0.0,0,0.0,0,,0.0
34,DELHI,0,,0.0,0,0.0,0,,0.0
35,LAKSHADWEEP,0,,0.0,0,0.0,0,,0.0
36,PUDUCHERRY,331664,,28.33,243496,21.85,500215,,34.52
