"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.2"
1,ANDHRA PRADESH,0,0.0,0,0.0,0,0.0
2,ARUNACHAL PRADESH,0,0.0,0,0.0,0,0.0
3,ASSAM,0,0.0,5700,0.83,44900,6.06
4,BIHAR,0,0.0,0,0.0,0,0.0
5,CHHATTISGARH,0,0.0,0,0.0,0,0.0
6,GOA,0,0.0,0,0.0,0,0.0
7,GUJARAT,11587,4.41,18491,94.61,22021,95.78
8,HARYANA,0,0.0,0,0.0,0,0.0
9,HIMACHAL PRADESH,0,0.0,100,50.0,100,24.69
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,0,0.0,0,0.0,0,0.0
12,KARNATAKA,0,0.0,0,0.0,0,0.0
13,KERALA,112500,75.5,275000,88.0,171000,76.85
14,MADHYA PRADESH,0,0.0,0,0.0,0,0.0
15,MAHARAHSTRA,0,0.0,0,0.0,0,0.0
16,MANIPUR,0,0.0,0,0.0,0,0.0
17,MEGHALAYA,0,0.0,250,0.34,250,0.33
18,MIZORAM,2065,6.14,1964,5.17,1756,11.09
19,NAGALAND,0,0.0,21,100.0,21,100.0
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,0,0.0,0,0.0,0,0.0
22,RAJASTHAN,0,0.0,0,0.0,0,0.0
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,0,0.0,0,0.0,0,0.0
25,TELANGANA,0,0.0,0,0.0,0,0.0
26,TRIPURA,0,0.0,0,0.0,0,0.0
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,0.0,0,0.0
29,WEST BENGAL,0,0.0,0,0.0,0,0.0
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,0,0.0,0,0.0,0,0.0
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,0,0.0,0,0.0,0,0.0
