"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),Unnamed: 4,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION",Unnamed: 6,2017-18 (REVISED ESTIMATE),Unnamed: 8,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.2"
1,ANDHRA PRADESH,,4281883,,5.96,,4084082,,5.26,4572158,4.13
2,ARUNACHAL PRADESH,,0,,0.0,,0,,0.0,0,0.0
3,ASSAM,,24354066,,78.79,,34987719,,83.86,41618426,85.45
4,BIHAR,,594790,,2.36,,3933000,,10.79,4164800,11.86
5,CHHATTISGARH,,2204951,,5.79,,2338060,,5.53,2455650,4.44
6,GOA,,5410339,,76.92,,5705213,,70.24,3807000,61.68
7,GUJARAT,,37856281,,87.39,,41771975,,85.81,47038406,84.43
8,HARYANA,,2115339,,7.46,,1873000,,5.66,1153000,3.02
9,HIMACHAL PRADESH,,129637,,0.78,,3014,,0.01,0,0.0
10,JAMMU & KASHMIR,,0,,0.0,,0,,0.0,0,0.0
11,JHARKHAND,,1108539,,11.65,,1271212,,11.21,1356241,10.84
12,KARNATAKA,,4930199,,9.25,,5193000,,9.27,5114600,8.11
13,KERALA,,36741615,,56.89,,38871193,,56.45,41176271,55.42
14,MADHYA PRADESH,,1709816,,3.26,,1950000,,3.07,0,0.0
15,MAHARAHSTRA,,156599648,,94.52,,170692426,,94.01,193326236,93.99
16,MANIPUR,,80511,,3.1,,176896,,5.68,131784,3.97
17,MEGHALAYA,,2031117,,35.61,,3291754,,67.67,3150738,64.84
18,MIZORAM,,647617,,27.13,,698492,,28.11,694912,27.91
19,NAGALAND,,0,,0.0,,3500,,0.07,3500,0.06
20,ODISHA,,6946995,,23.54,,13678943,,33.0,19019388,37.49
21,PUNJAB,,2573622,,5.23,,3585100,,6.0,3924100,6.06
22,RAJASTHAN,,291621,,0.24,,422501,,0.3,445001,0.26
23,SIKKIM,,0,,0.0,,0,,0.0,0,0.0
24,TAMIL NADU,,24849581,,23.91,,26478502,,23.59,27619315,23.33
25,TELANGANA,,2937031,,7.9,,3131604,,7.64,3431403,7.65
26,TRIPURA,,533277,,6.8,,664531,,6.28,696849,5.11
27,UTTARAKHAND,,2795242,,12.12,,3990001,,14.68,4886001,15.3
28,UTTAR PRADESH,,54060584,,77.24,,59074815,,78.13,66771350,79.14
29,WEST BENGAL,,93944384,,86.38,,104849429,,94.45,115502906,90.7
30,A & N ISLANDS,,74940,,4.56,,87400,,4.93,95000,5.23
31,CHANDIGARH,,85000,,5.73,,95000,,5.72,96500,5.7
32,DADRA & NAGAR HAVELI,,43000,,9.5,,34000,,8.29,52000,12.37
33,DAMAN & DIU,,126586,,13.49,,143600,,17.16,130500,16.4
34,DELHI,,4581157,,9.23,,6382354,,10.16,6749000,10.42
35,LAKSHADWEEP,,0,,0.0,,0,,0.0,0,0.0
36,PUDUCHERRY,,394782,,13.66,,380678,,12.74,380676,7.61
