"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON
EDUCATION.2"
1,ANDHRA PRADESH,403750,0.22,409388,0.2,452202,0.18
2,ARUNACHAL PRADESH,0,0.0,0,0.0,0,0.0
3,ASSAM,1677344,1.47,2425001,1.65,3087644,1.95
4,BIHAR,3269139,3.06,4182981,3.01,4314489,2.79
5,CHHATTISGARH,26103,0.03,35691,0.03,35321,0.02
6,GOA,22955,0.17,76352,0.49,82800,0.52
7,GUJARAT,118663,0.06,143737,0.07,140337,0.06
8,HARYANA,0,0.0,0,0.0,0,0.0
9,HIMACHAL PRADESH,86853,0.2,101414,0.31,117027,0.2
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,313172,0.44,558789,0.69,575792,0.62
12,KARNATAKA,376341,0.19,368300,0.17,412300,0.18
13,KERALA,144808,0.09,163534,0.09,183336,0.1
14,MADHYA PRADESH,112922,0.07,173908,0.08,150000,0.06
15,MAHARAHSTRA,969,0.0,1141,0.0,1268,0.0
16,MANIPUR,5483,0.07,20615,0.21,19615,0.19
17,MEGHALAYA,645,0.0,350,0.0,400,0.0
18,MIZORAM,575021,6.49,670965,6.95,707848,7.45
19,NAGALAND,10088,0.1,11227,0.1,14263,0.1
20,ODISHA,494850,0.53,765676,0.63,742082,0.56
21,PUNJAB,140499,0.16,222096,0.21,241060,0.22
22,RAJASTHAN,2078742,0.86,2476725,1.06,3103025,1.11
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,281344,0.11,569804,0.2,494216,0.17
25,TELANGANA,41412,0.05,42487,0.04,41293,0.04
26,TRIPURA,92444,0.58,136621,0.67,159555,0.64
27,UTTARAKHAND,192016,0.42,223066,0.41,274974,0.41
28,UTTAR PRADESH,2130796,0.51,2354291,0.48,2682790,0.49
29,WEST BENGAL,602002,0.27,614634,0.25,1243356,0.44
30,A & N ISLANDS,11075,0.22,10600,0.19,11550,0.2
31,CHANDIGARH,19606,0.32,21846,0.34,26675,0.4
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,0,0.0,0,0.0,0,0.0
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,289666,3.67,43886,0.57,49299,0.49
37,CENTRAL TOTAL,3567000,0.5,4774400,0.58,4504700,0.44
