"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.2
1,ANDHRA PRADESH,2859511,31.86,2424606,26.86,3035910,31.09
2,ARUNACHAL PRADESH,0,0.0,0,0.0,0,0.0
3,ASSAM,0,0.0,0,0.0,0,0.0
4,BIHAR,31792,2.97,38817,2.29,42501,1.13
5,CHHATTISGARH,0,0.0,50,0.0,0,0.0
6,GOA,0,0.0,0,0.0,0,0.0
7,GUJARAT,0,0.0,0,0.0,0,0.0
8,HARYANA,1060000,30.05,1122500,32.36,1270000,29.57
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,0,0.0,0,0.0,0,0.0
12,KARNATAKA,0,0.0,0,0.0,0,0.0
13,KERALA,1315400,16.45,2129233,21.15,2331745,20.91
14,MADHYA PRADESH,0,0.0,0,0.0,0,0.0
15,MAHARAHSTRA,155967,0.66,312573,1.41,221719,0.92
16,MANIPUR,350000,79.63,50000,29.88,50000,28.38
17,MEGHALAYA,0,0.0,0,0.0,0,0.0
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,0,0.0,0,0.0,0,0.0
22,RAJASTHAN,0,0.0,15003,0.79,27503,1.18
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,513996,3.67,732786,4.56,1000001,4.58
25,TELANGANA,1322736,34.32,1105442,29.01,1271259,30.08
26,TRIPURA,0,0.0,0,0.0,0,0.0
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,0.0,0,0.0
29,WEST BENGAL,99304,1.88,109857,2.54,120501,1.54
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,0,0.0,0,0.0,0,0.0
35,LAKSHADWEEP,131412,100.0,140900,100.0,136000,100.0
36,PUDUCHERRY,0,0.0,0,0.0,0,0.0
