"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.2
1,ANDHRA PRADESH,39610,0.44,43260,0.48,52614,0.54
2,ARUNACHAL PRADESH,0,0.0,0,0.0,0,0.0
3,ASSAM,0,0.0,0,0.0,0,0.0
4,BIHAR,0,0.0,0,0.0,0,0.0
5,CHHATTISGARH,0,0.0,0,0.0,0,0.0
6,GOA,0,0.0,0,0.0,0,0.0
7,GUJARAT,0,0.0,0,0.0,0,0.0
8,HARYANA,370186,10.5,269000,7.75,280000,6.52
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,0,0.0,0,0.0,0,0.0
12,KARNATAKA,3913287,50.7,3687700,46.73,3884000,46.25
13,KERALA,1042671,13.04,1304809,12.96,1423188,12.76
14,MADHYA PRADESH,1153588,37.41,1907675,47.58,3046803,50.56
15,MAHARAHSTRA,7694802,32.53,9554192,43.23,9615627,39.73
16,MANIPUR,0,0.0,0,0.0,0,0.0
17,MEGHALAYA,0,0.0,0,0.0,0,0.0
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,0,0.0,0,0.0,0,0.0
22,RAJASTHAN,45000,2.6,170543,9.0,164099,7.05
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,530016,3.79,553630,3.45,1207108,5.53
25,TELANGANA,0,0.0,0,0.0,0,0.0
26,TRIPURA,0,0.0,0,0.0,0,0.0
27,UTTARAKHAND,30000,2.74,31000,2.14,24600,1.33
28,UTTAR PRADESH,359330,12.42,257836,7.25,281213,6.91
29,WEST BENGAL,0,0.0,0,0.0,0,0.0
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,5428,0.23,6000,0.19,6500,0.2
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,0,0.0,0,0.0,0,0.0
